Export period 25.02.2020 - 24.02.2021
805000501;"Ø. Hjermitslev Kirke (Brønderslev Kommune)";552320;6348728
805011501;"Åkjærsgade (Bredgade / Brønderslev)";558138;6347572
805011502;"Åkjærsgade (Bredgade / Brønderslev)";558088;6347592
805012201;"Sverigesvej (Parkvej / Brønderslev)";556605;6348115
805015401;"Østergade (Brønderslev)";557674;6346983
805200101;"Jerslev (Voldgade / Brønderslev Kommune)";565807;6349513
807000101;"Hjallerup Busterminal";569231;6336656
807000102;"Hjallerup Busterminal";569234;6336680
807000701;"Grønnegade (Hjallerup)";568238;6336835
807000702;"Grønnegade (Hjallerup)";568186;6336859
807100101;"Ingeborg Skeels Vej (Ålborgvej / Flauenskjold)";577596;6345914
807100102;"Ingeborg Skeels Vej (Ålborgvej / Flauenskjold)";577467;6345847
807100103;"Ingeborg Skeels Vej (Ålborgvej / Flauenskjold)";577547;6345897
807100201;"Hellevadlund (Klokkerholm / Brønderslev Komm.)";569666;6341174
807100601;"Agersted gl. station (Dronninglundvej / Agersted)";583474;6340117
807100602;"Agersted gl. station (Dronninglundvej / Agersted)";583464;6340116
807100901;"Hjallerup Skole";569605;6336514
807200101;"Dronninglund Busterminal";578361;6336043
807200102;"Dronninglund Busterminal";578374;6336040
807200301;"Ørsø gl. købmand (Ørsøvej / Brønderslev Komm.)";580385;6337832
807200302;"Ørsø gl. købmand (Ørsøvej / Brønderslev Komm.)";580357;6337853
807200801;"Fredensgade (Slotsgade / Dronninglund)";577834;6335842
807200802;"Fredensgade (Slotsgade / Dronninglund)";577916;6335871
807211101;"Dronninglund Asylcenter (Brønderslev Kommune)";578056;6336177
807300101;"Asaa Torv (Sæbyvej / Brønderslev Kommune)";584987;6334793
807300102;"Asaa Torv (Sæbyvej / Brønderslev Kommune)";584983;6334817
809000101;"Farsø Busterminal (Vesthimm. Komm.)";520700;6292066
809000102;"Farsø Busterminal (Vesthimm. Komm.)";520709;6292069
809000202;"Vester Hornum Kirke (Hovedgaden / V.Hornum)";522018;6298454
811000101;"Fjerritslev Busterminal (Jammerbugt Kommune)";516168;6327033
811000102;"Fjerritslev Busterminal (Jammerbugt Kommune)";516168;6327036
811000501;"Gøttrup (Gøttrupvej / Jammerbugt Kommune)";512791;6323668
811000503;"Gøttrup (Gøttrupvej / Jammerbugt Kommune)";512797;6323772
813000501;"Morbrovej (Hjørringvej / Ravnshøj)";585814;6368265
813000502;"Morbrovej (Hjørringvej / Ravnshøj)";585854;6368254
813010801;"Møllecentret (Hjørringvej / Frederikshavn)";590478;6368128
813011001;"Suensonsvej Midt (Frederikshavn)";590607;6367787
813012801;"Friggasvej  (Odinsvej / Frederikshavn)";589853;6366621
813013501;"Arena Nord (Harald Nielsens Plads / Frederikshavn)";591192;6367672
813013801;"Fladstrand Kirke (Gl. Skagensvej / Frederikshavn)";592061;6368502
813014201;"AMU Knivholtvej (Frederikshavn)";589538;6368534
813016201;"Peter Møllers Gade (Søndergade / Frederikshavn)";591798;6366682
813021102;"Skivegade (Jyllandsgade / Frederikshavn)";590939;6369120
813050101;"Flade Rævdalvej (Brønderslevvej / Fr.havn Komm)";587656;6364878
813050201;"Fiskerstien (Bangsbostrand / Frederikshavn)";591622;6365033
813100201;"Vrangbækvej (Gærum / Frederikshavn Kommune)";585996;6362883
813100202;"Vrangbækvej (Gærum / Frederikshavn Kommune)";586015;6362873
815000101;"Hadsund Busterminal";568496;6286515
815000102;"Hadsund Busterminal";568486;6286507
815000301;"Veddum (Pejtersvej / Mariagerfjord Kommune)";571825;6292865
815000302;"Veddum (Pejtersvej / Mariagerfjord Kommune)";571812;6292901
815000401;"Skelund (Skelund Hovedgade / Mariagerfjord Km.)";572777;6291456
815200101;"Øster Hurup bymidte N (Øster Hurup)";577614;6296326
815200102;"Øster Hurup bymidte N (Øster Hurup)";577635;6296347
817000101;"Østerhavensvej (Aalborgvej / Gandrup)";571494;6323972
817000201;"Vestergade (Ulsted)";575923;6326343
817000202;"Vestergade (Ulsted)";575904;6326349
817000601;"Lagunen (Strandvejen / Aalborg Kommune)";582310;6322612
817005001;"Koldkær (Strandvejen / Hals)";581616;6320906
817005002;"Koldkær (Strandvejen / Hals)";581639;6320925
817100101;"Springvandspladsen (Halsvej / Vester Hassing)";568316;6325345
817100102;"Springvandspladsen (Halsvej / Vester Hassing)";568417;6325327
817150201;"Ø. Hassing Kær (Houvej / Aalborg Kommune)";574766;6326166
817200101;"Hou Skole (Nørregade / Hou)";583250;6324621
817200102;"Hou Skole (Nørregade / Hou)";583251;6324598
819000301;"Uggerby (Skagen Landevej / Hjørring Kommune)";566368;6380862
819001101;"Børnehuset Emmersbæk (Kærvej / Hirtshals)";558227;6381428
819001102;"Børnehuset Emmersbæk (Kærvej / Hirtshals)";558232;6381437
819001501;"Horne-Asdal Skole (Stendyssevej / Hjørring Kom.)";560228;6380649
819001901;"Højskolevej (Stendyssevej / Horne)";559062;6380261
819001902;"Højskolevej (Stendyssevej / Horne)";559059;6380245
819002001;"Halvejen (Margrethevej / Hirtshals)";557667;6382191
819002002;"Halvejen (Margrethevej / Hirtshals)";557672;6382166
819100101;"Hirtshals St. (Bus)";557548;6383638
819100501;"Asdal syd (Allingdamvej / Hjørring kommune)";561412;6378857
819100502;"Asdal syd (Allingdamvej / Hjørring kommune)";561405;6378873
819200101;"Østervej (Tannisbugtvej / Tversted / Hjørring kom)";571020;6383273
