UIC,Parent_UIC,Stationsnavn,Forkortelse,Region nr,Region navn,Kommune nr,Kommune navn,FjernRegional,Stog,KystKastrup,Arriva,Metro,Privatbane,Letbane,Border,Øst,Vest,H-omr,Lukket,Planlagt station,LTM_ID,LTM_ID_1,LTM_ID_S,LTM_ID_M,LTM_ID_LB,LTM_ID_PB,OTM_ID,OTM_ID_1,OTM_ID_S,OTM_ID_LB,X-koordinat,Y-koordinat
8603301,8600703,Vanløse,Van,1084,Hovedstaden,101,København,0,1,0,0,1,0,0,0,1,0,1,0,0,8600703,0,0,0,0,0,0,0,0,0,0,0
8603013,,Ørholm,0,1084,Hovedstaden,173,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603013,0,0,0,0,0,0,0,0,0,0,0
8603011,,Ravnholm,0,1084,Hovedstaden,173,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603011,0,0,0,0,0,0,0,0,0,0,0
8603010,,Nørgaardsvej,0,1084,Hovedstaden,751,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603010,0,0,0,0,0,0,0,0,0,0,0
8603009,,Nærum,0,1084,Hovedstaden,230,Rudersdal,0,0,0,0,0,1,0,0,1,0,1,0,0,8603009,0,0,0,0,0,0,0,0,0,0,0
8603007,,Lyngby Lokal,0,1084,Hovedstaden,173,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603007,0,0,0,0,0,0,0,0,0,0,0
8603003,,Fuglevad,0,1084,Hovedstaden,173,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603003,0,0,0,0,0,0,0,0,0,0,0
8603001,,Brede,0,1084,Hovedstaden,173,Lyngby-Taarbæk,0,0,0,0,0,1,0,0,1,0,1,0,0,8603001,0,0,0,0,0,0,0,0,0,0,0
8602653,,Øster Toreby,ØTO,1085,Sjælland,376,Guldborgsund,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8602645,,Søllested,0,1085,Sjælland,360,Lolland,0,0,0,0,0,1,0,0,0,1,0,0,0,8602645,0,0,0,0,0,0,0,0,0,0,0
8602641,,Sakskøbing,0,1085,Sjælland,376,Guldborgsund,0,0,0,0,0,1,0,0,0,1,0,0,0,8602641,0,0,0,0,0,0,0,0,0,0,0
8602635,,Ryde,0,1085,Sjælland,360,Lolland,0,0,0,0,0,1,0,0,0,1,0,0,0,8602635,0,0,0,0,0,0,0,0,0,0,0
8602623,,Nakskov,0,1085,Sjælland,360,Lolland,0,0,0,0,0,1,0,0,0,1,0,0,0,8602623,0,0,0,0,0,0,0,0,0,0,0
8602619,,Maribo,0,1085,Sjælland,360,Lolland,0,0,0,0,0,1,0,0,0,1,0,0,0,8602619,0,0,0,0,0,0,0,0,0,0,0
8602605,,Grænge,0,1085,Sjælland,376,Guldborgsund,0,0,0,0,0,1,0,0,0,1,0,0,0,8602605,0,0,0,0,0,0,0,0,0,0,0
